Date,Team,Win,GF,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 6@@24263,:cw: CUW 🏡,84.7,3.2,:aw: ARU,3.8,0.6,11.5,2-0,1,Friendly
June 6@@24263,:ro: ROU 🏡,34.1,1.1,:gb-wls: WAL,34.3,1.1,31.6,0-0,1,Friendly
June 6@@24263,:qa: QAT,35.7,1.3,:sv: SLV,35.8,1.3,28.5,0-0,1,Friendly
June 6@@24263,:ar: ARG,86.1,3.2,:hn: HON,2.9,0.4,11.0,2-0,1,Friendly
June 6@@24263,:gb-sct: SCO,61.0,2.0,:bo: BOL,15.7,0.9,23.3,1-0,1,Friendly
June 6@@24263,:al: ALB 🏡,56.0,1.6,:lu: LUX,16.4,0.8,27.6,1-0,1,Friendly
June 6@@24263,:ee: EST 🏡,39.3,1.1,:fo: FRO,27.5,0.9,33.2,0-0,4,Baltic Cup
June 6@@24263,:be: BEL 🏡,69.4,2.2,:tn: TUN,9.8,0.7,20.8,1-0,1,Friendly
June 6@@24263,:ch: SUI,50.9,1.6,:au: AUS,21.9,1.0,27.2,1-0,1,Friendly
June 6@@24263,:am: ARM 🏡,38.9,1.5,:kz: KAZ,33.3,1.3,27.8,1-1,1,Friendly
June 7@@24264,:co: COL,75.8,2.4,:jo: JOR,6.5,0.5,17.7,1-0,1,Friendly
June 7@@24264,:no: NOR,49.6,1.6,:ma: MAR,22.2,0.9,28.3,1-0,1,Friendly
June 7@@24264,:hr: CRO 🏡,60.2,1.8,:si: SVN,14.5,0.7,25.3,1-0,1,Friendly
June 7@@24264,:dk: DEN 🏡,54.3,1.7,:ua: UKR,18.7,0.9,27.0,1-0,1,Friendly
June 7@@24264,:ec: ECU,71.6,2.2,:gt: GUA,8.1,0.6,20.3,1-0,1,Friendly
June 7@@24264,:gr: GRE 🏡,25.4,0.9,:it: ITA,41.7,1.2,32.8,0-0,1,Friendly
June 8@@24265,:fr: FRA 🏡,79.9,2.6,:gb-nir: NIR,4.4,0.4,15.7,1-0,1,Friendly
June 8@@24265,:az: AZE,78.1,2.5,:sm: SMR,5.2,0.5,16.7,1-0,1,Friendly
June 8@@24265,:es: ESP,74.3,2.4,:pe: PER,7.4,0.6,18.3,1-0,1,Friendly
June 8@@24265,:uy: URU,55.2,1.8,:rs: SRB,18.7,0.9,26.1,1-0,1,Friendly
June 8@@24265,:ci: CIV,53.2,1.6,:iq: IRQ,19.2,0.9,27.6,1-0,1,Friendly
June 9@@24266,:ru: RUS 🏡,85.8,3.3,:tt: TRI,3.3,0.5,10.9,2-0,1,Friendly
June 9@@24266,:om: OMA,47.5,1.5,:kw: KUW,23.6,1.0,28.9,1-0,1,Friendly
June 9@@24266,:ar: ARG,86.6,3.4,:is: ISL,3.0,0.5,10.4,2-0,1,Friendly
June 9@@24266,:cl: CHI,35.2,1.3,:cd: COD,35.2,1.3,29.6,0-0,1,Friendly
June 9@@24266,:hu: HUN 🏡,71.1,2.4,:kz: KAZ,9.8,0.8,19.1,1-0,1,Friendly
June 9@@24266,:cn: CHN 🏡,55.2,1.7,:th: THA,18.2,0.9,26.6,1-0,1,Friendly
June 9@@24266,:tl: TLS 🏡,60.6,2.1,:bn: BRU,16.5,1.0,22.9,1-0,3,Southeast Asian Championship qualifying
June 9@@24266,:am: ARM 🏡,55.4,1.8,:md: MDA,19.0,1.0,25.6,1-0,1,Friendly
June 9@@24266,:sn: SEN,66.2,1.9,:sa: KSA,10.0,0.6,23.8,1-0,1,Friendly
June 9@@24266,:kh: CAM 🏡,21.7,1.0,:hk: HKG,52.0,1.7,26.4,0-1,1,Friendly
June 9@@24266,:ao: ANG,60.5,1.9,:cf: CTA,15.3,0.8,24.2,1-0,1,Friendly
June 10@@24267,:gb-eng: ENG,78.8,2.7,:cr: CRC,5.7,0.6,15.6,1-0,1,Friendly
June 10@@24267,:at: AUT,64.6,2.1,:gt: GUA,13.4,0.8,22.0,1-0,1,Friendly
June 10@@24267,:pt: POR 🏡,62.7,1.8,:ng: NGA,12.7,0.7,24.7,1-0,1,Friendly
July 24@@24311,:kh: CAM 🏡,21.3,1.1,:sg: SGP,53.8,1.9,24.9,0-1,4,Southeast Asian Championship
July 25@@24312,:mm: MYA 🏡,16.7,1.0,:my: MAS,60.1,2.1,23.1,0-1,4,Southeast Asian Championship
July 25@@24312,:la: LAO 🏡,2.0,0.4,:th: THA,89.8,3.7,8.3,0-2,4,Southeast Asian Championship
July 27@@24314,:id: IDN 🏡,93.9,4.4,:kh: CAM,0.8,0.3,5.2,3-0,4,Southeast Asian Championship
July 28@@24315,:my: MAS 🏡,93.6,4.4,:la: LAO,0.9,0.3,5.5,3-0,4,Southeast Asian Championship
July 28@@24315,:ph: PHI 🏡,76.8,2.7,:mm: MYA,7.2,0.7,16.0,1-0,4,Southeast Asian Championship
July 31@@24318,:vn: VIE 🏡,73.2,2.4,:sg: SGP,8.0,0.6,18.7,1-0,4,Southeast Asian Championship
Aug. 1@@24319,:la: LAO 🏡,6.3,0.7,:ph: PHI,79.1,2.9,14.6,0-2,4,Southeast Asian Championship
Aug. 1@@24319,:th: THA 🏡,66.1,2.2,:my: MAS,12.3,0.8,21.5,1-0,4,Southeast Asian Championship
Aug. 3@@24321,:id: IDN 🏡,59.3,1.9,:vn: VIE,16.3,0.9,24.4,1-0,4,Southeast Asian Championship
Aug. 4@@24322,:ph: PHI 🏡,25.0,1.2,:th: THA,48.6,1.7,26.4,0-1,4,Southeast Asian Championship
Aug. 4@@24322,:mm: MYA 🏡,72.8,2.6,:la: LAO,9.7,0.9,17.5,1-0,4,Southeast Asian Championship
Aug. 7@@24325,:vn: VIE 🏡,91.0,3.8,:kh: CAM,1.5,0.4,7.5,2-0,4,Southeast Asian Championship
Aug. 7@@24325,:sg: SGP 🏡,12.9,0.8,:id: IDN,64.9,2.1,22.1,0-1,4,Southeast Asian Championship
Aug. 8@@24326,:th: THA 🏡,89.2,3.6,:mm: MYA,2.1,0.4,8.8,2-0,4,Southeast Asian Championship
Aug. 8@@24326,:my: MAS 🏡,63.2,2.1,:ph: PHI,14.5,0.9,22.4,1-0,4,Southeast Asian Championship
Sept. 24@@24373,:at: AUT 🏡,66.8,2.4,:il: ISR,13.0,0.9,20.2,1-0,6,UEFA Nations League B
Sept. 24@@24373,:rs: SRB 🏡,37.9,1.3,:gr: GRE,32.0,1.2,30.1,0-0,6,UEFA Nations League A
Sept. 24@@24373,:no: NOR 🏡,55.7,1.9,:dk: DEN,19.3,1.0,25.0,1-0,6,UEFA Nations League A
Sept. 24@@24373,:nl: NED 🏡,44.0,1.8,:de: GER,30.6,1.4,25.4,1-1,6,UEFA Nations League A
Sept. 24@@24373,:ad: AND 🏡,21.7,0.7,:mt: MLT,42.9,1.1,35.4,0-0,6,UEFA Nations League D
Sept. 24@@24373,:xk: KOS 🏡,41.2,1.2,:ie: IRL,27.0,0.9,31.8,0-0,6,UEFA Nations League B
Sept. 24@@24373,:li: LIE 🏡,6.4,0.5,:lt: LTU,74.1,2.2,19.6,0-1,6,UEFA Nations League D
Sept. 24@@24373,:pt: POR 🏡,75.6,2.4,:gb-wls: WAL,6.5,0.5,17.9,1-0,6,UEFA Nations League A
Sept. 25@@24374,:tr: TUR 🏡,19.8,1.0,:fr: FRA,54.3,1.8,25.9,0-1,6,UEFA Nations League A
Sept. 25@@24374,:it: ITA 🏡,45.1,1.4,:be: BEL,25.1,1.0,29.8,0-0,6,UEFA Nations League A
Sept. 25@@24374,:am: ARM 🏡,46.1,1.5,:lv: LVA,25.4,1.1,28.4,1-0,6,UEFA Nations League C
Sept. 25@@24374,:se: SWE 🏡,58.3,1.8,:ro: ROU,16.3,0.8,25.3,1-0,6,UEFA Nations League B
Sept. 25@@24374,:pl: POL 🏡,58.0,1.9,:ba: BIH,17.5,0.9,24.6,1-0,6,UEFA Nations League B
Sept. 25@@24374,:hu: HUN 🏡,39.6,1.4,:ua: UKR,31.3,1.2,29.1,0-0,6,UEFA Nations League B
Sept. 25@@24374,:me: MNE 🏡,60.1,2.0,:cy: CYP,16.3,0.9,23.6,1-0,6,UEFA Nations League C
Sept. 25@@24374,:ge: GEO 🏡,51.4,1.5,:gb-nir: NIR,19.2,0.8,29.4,1-0,6,UEFA Nations League B
Sept. 26@@24375,:sm: SMR 🏡,1.1,0.3,:fi: FIN,91.2,3.6,7.7,0-2,6,UEFA Nations League C
Sept. 26@@24375,:mk: MKD 🏡,11.3,0.7,:ch: SUI,67.4,2.2,21.3,0-1,6,UEFA Nations League B
Sept. 26@@24375,:gb-eng: ENG 🏡,35.4,1.2,:es: ESP,34.5,1.2,30.0,0-0,6,UEFA Nations League A
Sept. 26@@24375,:sk: SVK 🏡,82.1,2.8,:md: MDA,3.9,0.4,14.0,2-0,6,UEFA Nations League C
Sept. 26@@24375,:al: ALB 🏡,60.2,1.7,:by: BLR,13.3,0.7,26.4,1-0,6,UEFA Nations League C
Sept. 26@@24375,:si: SVN 🏡,34.4,1.1,:gb-sct: SCO,34.3,1.1,31.2,0-0,6,UEFA Nations League B
Sept. 26@@24375,:fo: FRO 🏡,37.0,1.2,:kz: KAZ,31.8,1.1,31.2,0-0,6,UEFA Nations League C
Sept. 26@@24375,:bg: BUL 🏡,44.6,1.4,:lu: LUX,26.2,1.0,29.2,0-0,6,UEFA Nations League C
Sept. 26@@24375,:is: ISL 🏡,75.2,2.5,:ee: EST,7.1,0.6,17.7,1-0,6,UEFA Nations League C
Sept. 26@@24375,:cz: CZE 🏡,28.0,1.1,:hr: CRO,42.8,1.4,29.2,0-0,6,UEFA Nations League A
Sept. 27@@24376,:de: GER 🏡,70.2,2.4,:gr: GRE,10.5,0.8,19.4,1-0,6,UEFA Nations League A
Sept. 27@@24376,:lt: LTU 🏡,39.1,1.1,:az: AZE,27.8,0.9,33.2,0-0,6,UEFA Nations League D
